timestamp,open,high,low,close,volume
2026-06-07 04:53:00,61833.43,61840.65,61800.0,61806.01,4.26405
2026-06-07 04:54:00,61838.26,61845.99,61834.0,61842.68,4.88044
2026-06-07 04:55:00,61842.87,61880.46,61842.11,61879.98,9.51833
2026-06-07 04:56:00,61890.0,61890.0,61871.75,61879.0,15.39208
2026-06-07 04:57:00,61885.85,61893.89,61868.71,61893.88,3.99514
2026-06-07 04:58:00,61896.49,61896.49,61882.68,61888.15,2.97754
2026-06-07 04:59:00,61893.45,61907.07,61889.98,61907.07,13.75759
2026-06-07 05:00:00,61890.92,61890.92,61854.0,61863.83,9.50564
2026-06-07 05:01:00,61838.68,61845.64,61821.62,61827.06,6.563
2026-06-07 05:02:00,61839.35,61866.4,61836.33,61836.33,13.64878
2026-06-07 05:03:00,61825.59,61828.6,61805.86,61805.87,3.69693
2026-06-07 05:04:00,61817.68,61835.43,61814.83,61819.04,4.76859
2026-06-07 05:05:00,61819.04,61819.04,61805.72,61810.44,2.27948
2026-06-07 05:06:00,61807.72,61867.32,61801.01,61867.32,3.74751
2026-06-07 05:07:00,61826.94,61826.94,61800.0,61814.01,4.20449
2026-06-07 05:08:00,61814.0,61825.45,61800.0,61825.45,7.31292
2026-06-07 05:09:00,61807.79,61828.0,61807.78,61828.0,4.3232
2026-06-07 05:10:00,61818.17,61818.17,61800.01,61802.0,6.24922
2026-06-07 05:11:00,61810.65,61814.73,61793.53,61803.04,9.73455
2026-06-07 05:12:00,61812.71,61825.61,61796.42,61796.42,5.34632
2026-06-07 05:13:00,61796.43,61890.19,61796.43,61890.19,7.51295
2026-06-07 05:14:00,61938.0,61938.0,61884.0,61884.01,20.16035
2026-06-07 05:15:00,61884.01,61884.01,61818.4,61824.33,5.63242
2026-06-07 05:16:00,61803.82,61824.0,61793.64,61810.11,12.79586
2026-06-07 05:17:00,61820.77,61948.42,61820.76,61931.67,27.53258
2026-06-07 05:18:00,61963.89,62159.0,61957.38,61982.0,130.53176
2026-06-07 05:19:00,62075.28,62080.0,61990.01,61998.43,29.2351
2026-06-07 05:20:00,61990.02,61995.88,61853.09,61853.1,23.71959
2026-06-07 05:21:00,61853.1,61853.1,61803.37,61803.37,19.74143
2026-06-07 05:22:00,61803.38,61834.26,61803.37,61824.97,4.92677
2026-06-07 05:23:00,61821.86,61886.61,61818.77,61886.6,7.00025
2026-06-07 05:24:00,61886.67,61921.5,61880.0,61909.15,3.44566
2026-06-07 05:25:00,61920.25,61937.14,61901.97,61925.85,7.66713
2026-06-07 05:26:00,61919.44,61919.44,61867.17,61888.49,6.16415
2026-06-07 05:27:00,61850.53,61861.9,61837.05,61842.97,13.89172
2026-06-07 05:28:00,61842.97,61842.97,61808.18,61808.19,6.65773
2026-06-07 05:29:00,61800.01,61800.01,61734.44,61740.49,17.84948
2026-06-07 05:30:00,61740.49,61768.62,61734.44,61768.61,7.39448
2026-06-07 05:31:00,61768.62,61798.0,61699.39,61704.81,18.81276
2026-06-07 05:32:00,61704.81,61706.71,61675.96,61677.13,10.7098
2026-06-07 05:33:00,61677.13,61683.67,61647.0,61660.24,14.22395
2026-06-07 05:34:00,61660.25,61743.01,61660.25,61736.91,7.92065
2026-06-07 05:35:00,61736.9,61773.02,61726.0,61750.43,4.55809
2026-06-07 05:36:00,61754.0,61779.64,61739.23,61771.91,9.66916
2026-06-07 05:37:00,61771.91,61803.99,61768.58,61784.03,11.55558
2026-06-07 05:38:00,61784.02,61830.0,61779.7,61829.99,10.04912
2026-06-07 05:39:00,61830.0,61830.0,61830.0,61830.0,0.01659
2026-06-07 05:40:00,61843.91,61849.07,61843.91,61849.07,0.03441
2026-06-07 05:41:00,61825.25,61825.25,61821.04,61821.04,0.07256
2026-06-07 05:42:00,61804.11,61804.11,61804.1,61804.11,0.07254
2026-06-07 05:43:00,61820.09,61820.09,61813.86,61813.87,0.28506
2026-06-07 05:44:00,61811.88,61811.88,61802.0,61802.01,0.33294
2026-06-07 05:45:00,61871.99,61872.0,61859.61,61859.61,0.61486
2026-06-07 05:46:00,61812.14,61812.14,61784.0,61784.0,1.77455
2026-06-07 05:47:00,61826.0,61826.0,61819.98,61819.99,0.15816
2026-06-07 05:48:00,61789.2,61789.2,61776.0,61776.01,0.8445
2026-06-07 05:49:00,61786.89,61786.9,61758.77,61763.31,12.79031
2026-06-07 05:50:00,61763.32,61776.09,61713.36,61713.36,15.25117
2026-06-07 05:51:00,61713.36,61767.49,61700.0,61767.48,3.76872
2026-06-07 05:52:00,61767.49,61786.0,61766.97,61766.97,3.06699
2026-06-07 05:53:00,61766.98,61766.98,61736.0,61736.01,19.25367
2026-06-07 05:54:00,61736.01,61736.01,61728.0,61728.0,0.28215
2026-06-07 05:55:00,61770.0,61770.01,61725.61,61739.83,69.72455
2026-06-07 05:56:00,61739.82,61755.35,61718.54,61754.57,7.3056
2026-06-07 05:57:00,61754.58,61760.2,61737.56,61742.61,5.39936
2026-06-07 05:58:00,61742.61,61779.29,61742.61,61768.63,8.25683
2026-06-07 05:59:00,61768.63,61768.63,61748.1,61748.1,9.54141
2026-06-07 06:00:00,61748.11,61762.45,61704.0,61704.01,15.94571
2026-06-07 06:01:00,61704.01,61704.01,61666.0,61671.1,8.93744
2026-06-07 06:02:00,61671.11,61693.96,61660.0,61672.15,5.54385
2026-06-07 06:03:00,61672.16,61686.15,61658.0,61662.74,5.59107
2026-06-07 06:04:00,61662.73,61662.73,61619.4,61626.35,8.53988
2026-06-07 06:05:00,61626.35,61666.78,61626.35,61643.63,5.03649
2026-06-07 06:06:00,61643.62,61670.0,61640.0,61669.99,3.82081
2026-06-07 06:07:00,61670.0,61718.0,61670.0,61714.74,3.46192
2026-06-07 06:08:00,61714.73,61724.18,61681.0,61681.0,3.84591
2026-06-07 06:09:00,61681.01,61689.68,61680.99,61687.46,2.3808
2026-06-07 06:10:00,61692.99,61700.26,61684.49,61684.82,2.41383
2026-06-07 06:11:00,61684.82,61700.27,61684.81,61700.27,6.66073
2026-06-07 06:12:00,61700.27,61737.56,61700.26,61725.99,15.9112
2026-06-07 06:13:00,61726.0,61731.8,61726.0,61728.73,2.19941
2026-06-07 06:14:00,61728.73,61728.73,61676.92,61678.01,39.77513
2026-06-07 06:15:00,61678.01,61711.17,61678.01,61678.01,36.89391
2026-06-07 06:16:00,61678.02,61684.19,61658.43,61658.43,14.97182
2026-06-07 06:17:00,61658.43,61833.96,61658.43,61759.98,41.60549
2026-06-07 06:18:00,61759.97,61787.99,61744.69,61787.99,9.31463
2026-06-07 06:19:00,61788.0,61847.43,61783.07,61842.0,28.6139
2026-06-07 06:20:00,61842.0,61842.0,61780.0,61780.01,6.87923
2026-06-07 06:21:00,61780.0,61815.06,61780.0,61815.01,16.16358
2026-06-07 06:22:00,61815.0,61847.42,61815.0,61844.08,9.04585
2026-06-07 06:23:00,61844.4,61868.0,61836.39,61836.39,8.47008
2026-06-07 06:24:00,61856.71,61866.32,61851.43,61866.31,11.72246
2026-06-07 06:25:00,61880.0,61880.01,61867.67,61867.67,9.85803
2026-06-07 06:26:00,61833.21,61853.5,61792.41,61836.47,33.65429
2026-06-07 06:27:00,61836.48,61893.89,61836.47,61891.57,43.58551
2026-06-07 06:28:00,61891.57,61990.0,61889.21,61966.5,57.52411
2026-06-07 06:29:00,61966.5,62016.56,61958.65,61970.18,65.63609
2026-06-07 06:30:00,61970.18,62051.74,61962.62,62020.97,66.0257
2026-06-07 06:31:00,62020.97,62058.0,62006.06,62054.07,60.42466
2026-06-07 06:32:00,62054.07,62079.52,62032.29,62050.51,47.19206
2026-06-07 06:33:00,62050.5,62116.73,62043.52,62108.01,41.74431
2026-06-07 06:34:00,62108.01,62148.84,62090.64,62140.73,60.63361
2026-06-07 06:35:00,62140.73,62140.73,62107.0,62120.35,34.00455
2026-06-07 06:36:00,62120.35,62272.0,62120.35,62231.71,89.22514
2026-06-07 06:37:00,62231.71,62244.87,62142.6,62150.01,52.01124
2026-06-07 06:38:00,62150.01,62152.97,62088.65,62100.49,41.7271
2026-06-07 06:39:00,62100.5,62205.53,62084.34,62205.52,32.37308
2026-06-07 06:40:00,62205.53,62245.17,62154.01,62154.01,22.63674
2026-06-07 06:41:00,62154.0,62164.0,62122.15,62150.49,31.26167
2026-06-07 06:42:00,62150.48,62195.42,62136.24,62192.28,38.874
2026-06-07 06:43:00,62192.29,62222.04,62179.01,62190.0,31.52519
2026-06-07 06:44:00,62190.01,62205.91,62170.78,62192.69,37.01988
2026-06-07 06:45:00,62192.69,62233.83,62179.76,62193.53,37.67366
2026-06-07 06:46:00,62193.54,62193.54,62118.25,62129.51,38.19272
2026-06-07 06:47:00,62129.51,62129.51,62094.27,62103.64,34.11857
2026-06-07 06:48:00,62103.64,62143.4,62103.63,62123.31,33.59845
2026-06-07 06:49:00,62123.31,62124.0,62103.63,62119.99,23.02767
2026-06-07 06:50:00,62120.0,62128.0,62103.63,62103.94,38.43111
2026-06-07 06:51:00,62103.95,62170.0,62103.94,62152.01,36.02245
2026-06-07 06:52:00,62152.0,62153.01,62119.6,62123.12,40.53399
2026-06-07 06:53:00,62123.13,62123.13,62052.0,62060.0,40.87143
2026-06-07 06:54:00,62059.99,62066.0,62030.15,62061.53,26.58521
2026-06-07 06:55:00,62061.53,62061.54,62040.91,62043.02,23.61886
2026-06-07 06:56:00,62043.02,62076.77,62040.0,62069.32,27.89508
2026-06-07 06:57:00,62069.33,62111.98,62062.74,62111.97,34.01558
2026-06-07 06:58:00,62111.98,62158.56,62106.15,62158.56,23.41337
2026-06-07 06:59:00,62158.56,62158.56,62101.0,62101.0,8.10645
2026-06-07 07:00:00,62101.01,62101.01,62019.8,62027.3,27.0133
2026-06-07 07:01:00,62027.3,62027.3,61983.46,61998.58,45.62468
2026-06-07 07:02:00,61998.58,62084.19,61997.95,62084.19,32.60231
2026-06-07 07:03:00,62084.19,62207.98,62084.19,62180.02,42.71165
2026-06-07 07:04:00,62180.01,62180.02,62134.55,62146.87,11.53234
2026-06-07 07:05:00,62146.87,62155.68,62138.18,62148.25,5.8376
2026-06-07 07:06:00,62148.25,62157.58,62121.76,62157.58,27.43291
2026-06-07 07:07:00,62157.58,62238.0,62157.58,62237.99,22.56407
2026-06-07 07:08:00,62238.0,62268.88,62161.87,62170.9,80.03088
2026-06-07 07:09:00,62170.91,62190.79,62170.9,62189.41,9.53001
2026-06-07 07:10:00,62189.4,62189.4,62170.0,62170.01,5.12917
2026-06-07 07:11:00,62170.01,62170.75,62144.72,62150.39,13.04507
2026-06-07 07:12:00,62150.39,62156.6,62148.15,62148.15,3.88449
2026-06-07 07:13:00,62148.14,62151.29,62121.9,62121.91,15.40617
2026-06-07 07:14:00,62124.97,62134.0,62124.96,62131.32,2.73244
2026-06-07 07:15:00,62131.32,62184.14,62131.31,62184.14,7.73251
2026-06-07 07:16:00,62184.14,62189.81,62148.01,62148.01,8.84517
2026-06-07 07:17:00,62148.0,62148.0,62103.27,62103.28,17.17709
2026-06-07 07:18:00,62103.28,62103.28,62059.6,62102.0,19.2081
2026-06-07 07:19:00,62101.99,62171.09,62068.78,62142.48,82.11909
2026-06-07 07:20:00,62142.44,62142.45,62109.81,62125.37,11.68027
2026-06-07 07:21:00,62125.37,62125.37,62091.2,62115.14,10.59562
2026-06-07 07:22:00,62115.14,62115.14,62103.7,62108.04,8.73519
2026-06-07 07:23:00,62108.04,62150.0,62085.46,62150.0,111.0986
2026-06-07 07:24:00,62150.0,62207.73,62149.99,62207.72,39.62029
2026-06-07 07:25:00,62207.72,62238.65,62202.89,62237.96,31.67335
2026-06-07 07:26:00,62237.96,62244.95,62234.48,62234.49,11.44488
2026-06-07 07:27:00,62234.49,62234.49,62195.99,62206.01,19.83464
2026-06-07 07:28:00,62206.0,62206.01,62184.13,62184.13,9.20946
2026-06-07 07:29:00,62184.14,62232.0,62184.13,62231.99,15.35101
2026-06-07 07:30:00,62231.99,62256.05,62216.97,62247.58,14.90303
2026-06-07 07:31:00,62247.58,62267.94,62240.03,62265.62,19.93625
2026-06-07 07:32:00,62265.63,62265.63,62245.0,62245.07,10.79433
2026-06-07 07:33:00,62245.07,62257.53,62245.04,62247.51,8.88693
2026-06-07 07:34:00,62247.51,62263.52,62193.04,62216.2,113.57047
2026-06-07 07:35:00,62216.2,62256.02,62216.2,62254.13,12.94091
2026-06-07 07:36:00,62254.13,62262.59,62248.85,62251.07,19.88266
2026-06-07 07:37:00,62251.07,62251.07,62212.0,62234.23,25.30835
2026-06-07 07:38:00,62234.22,62253.11,62210.0,62210.0,18.4829
